categoria	referencia_interna	nombre 	precio	url_produicto	url_imagen	descripción	gastos de envío	disponibilidad	marca	ean	garantía	precio_tachado	referencia_modelo	divisa	referencia_fabricante
Velas con Flores	ra-veflnabl02	Vela Bloran	 6,50   	https://www.regalonatural.com/111-vela-bloran.html	https://www.regalonatural.com/img/p/4/9/7/497-large_default.jpg	Preciosa vela mediana con flores naranjas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas con Flores	ra-veflnablmin02	Vela Bloran Mini	 2,00   	https://www.regalonatural.com/112-vela-bloran-mini.html	https://www.regalonatural.com/img/p/5/0/1/501-large_default.jpg	Preciosa vela pequeña con flores naranjas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabones Flor	ra-veflcampanar	Jabon Flor Campa	 1,20   	https://www.regalonatural.com/113-jabon-flor-campa.html	https://www.regalonatural.com/img/p/5/0/2/502-large_default.jpg	Precioso y elegante jabon con forma de flor camapanilla	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Ofertas Contrarreloj	ra-jbrorotl	Jabon Sho Yu Rosa-Blanco	 2,98   	https://www.regalonatural.com/114-jabon-sho-yu-rosa-blanco.html	https://www.regalonatural.com/img/p/5/2/4/524-large_default.jpg	Estupendo jabón con forma de flor Sho Yu rosa y blanco. Escoge la fragancia entre nuestras fragancias y acierta en tu regalo	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Tarta	ra-jbtablmen	Jabon Tarta Blanca	 3,00   	https://www.regalonatural.com/115-jabon-tarta-blanca.html	https://www.regalonatural.com/img/p/5/2/7/527-large_default.jpg	Precioso jabón con forma de tarta blanca. Escoge tu fragancia favorita.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Conjuntos Velas y Jabones	cjn-vejablo	Conj. Velas y Jabones Bloran	 14,68   	https://www.regalonatural.com/116-conjunto-bloran.html	https://www.regalonatural.com/img/p/5/3/4/534-large_default.jpg	Precioso conjunto de velas y jabones con distintas combinaciones	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Un Vistazo	cjn-vejbliria01	Conj. Velas y Jabones Liria	 17,00   	https://www.regalonatural.com/117-conjunto-liria.html	https://www.regalonatural.com/img/p/5/5/8/558-large_default.jpg	Precioso conjunto de velas y jabones. Las velas están adornadas con flores de cera lilas. Elige tu fragancia.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Personalizadas	ra-veperroj-rg24	Vela Personalizada RG24	 9,90   	https://www.regalonatural.com/121-velas-personalizada-rg24.html	https://www.regalonatural.com/img/p/5/7/0/570-large_default.jpg	Preciosa vela con flores rojas personalizada con foto a escoger	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbpeamno	Jabón Pensamiento Amarillo	 0,98   	https://www.regalonatural.com/124-jabon-pensamiento-amarillo.html	https://www.regalonatural.com/img/p/5/8/2/582-large_default.jpg	Bonito jabon con forma de flor pensamiento de color amarillo	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbperono	Jabón Pensamiento Rojo	 0,98   	https://www.regalonatural.com/125-jabon-pensamiento-rojo.html	https://www.regalonatural.com/img/p/5/8/6/586-large_default.jpg	Bonito jabon con forma de flor pensamiento de color rojo	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbpersno	Jabón Pensamiento Rosa	 0,98   	https://www.regalonatural.com/126-jabon-pensamiento-rosa.html	https://www.regalonatural.com/img/p/5/9/0/590-large_default.jpg	Bonito jabon con forma de flor pensamiento de color rosa	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbpenano	Jabón Pensamiento Naranja	 0,98   	https://www.regalonatural.com/127-jabon-pensamiento-naranja.html	https://www.regalonatural.com/img/p/5/9/4/594-large_default.jpg	Bonito jabon con forma de flor pensamiento de color naranja	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbpebrno	Jabón Pensamiento Blanco-Rojo	 0,98   	https://www.regalonatural.com/128-jabon-pensamiento-blanco-rojo.html	https://www.regalonatural.com/img/p/5/9/8/598-large_default.jpg	Bonito jabon con forma de flor pensamiento de color blanco y rojo	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbperbno	Jabón Pensamiento Rojo-Blanco	 0,98   	https://www.regalonatural.com/129-jabon-pensamiento-rojo-blanco.html	https://www.regalonatural.com/img/p/6/0/2/602-large_default.jpg	Bonito jabon con forma de flor pensamiento de color rojo y blanco	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbpelino	Jabón Pensamiento Lila	 0,98   	https://www.regalonatural.com/130-jabon-pensamiento-lila.html	https://www.regalonatural.com/img/p/6/0/6/606-large_default.jpg	Bonito jabon con forma de flor pensamiento de color lila	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Pensamiento	ra-jbpeveno	Jabón Pensamiento Verde	 0,98   	https://www.regalonatural.com/131-jabon-pensamiento-verde.html	https://www.regalonatural.com/img/p/6/1/0/610-large_default.jpg	Bonito jabon con forma de flor pensamiento de color verde	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Un Vistazo	ra-vegiflam01	Vela Marila	 10,50   	https://www.regalonatural.com/132-vela-marila.html	https://www.regalonatural.com/img/p/6/1/2/612-large_default.jpg	Vela con flores giradas amarillas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabones Letras	ra-jbbrc-le-001	Letras de Jabón	 0,25   	https://www.regalonatural.com/133-letras-de-jabon.html	https://www.regalonatural.com/img/p/6/1/3/613-large_default.jpg	Divertidas letras de jabón con las que formar palabras	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Tarta	ra-jbtachnov01	Jabon Tarta Boda	 2,50   	https://www.regalonatural.com/134-jabon-tarta-boda.html	https://www.regalonatural.com/img/p/6/1/6/616-large_default.jpg	Precioso jabón con forma de tarta de bodas. Escoge tu fragancia favorita.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Productos Especiales	ra-esp-lito-01	Litos Personalizadas	 6,20   	https://www.regalonatural.com/135-litos-personalizadas.html	https://www.regalonatural.com/img/p/6/1/7/617-large_default.jpg	Original regalo totalmente personalizado para sorprender a familiares y amigos	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
